                  List of relations
 Schema |          Name           | Type  |  Owner   
--------+-------------------------+-------+----------
 public | Account                 | table | postgres
 public | Department              | table | postgres
 public | District                | table | postgres
 public | Meeting                 | table | postgres
 public | MeetingAttendee         | table | postgres
 public | Permission              | table | postgres
 public | Role                    | table | postgres
 public | RoleHierarchy           | table | postgres
 public | School                  | table | postgres
 public | Session                 | table | postgres
 public | Staff                   | table | postgres
 public | SystemSetting           | table | postgres
 public | VerificationToken       | table | postgres
 public | _prisma_migrations      | table | postgres
 public | agenda_item_attachments | table | postgres
 public | agenda_item_comments    | table | postgres
 public | audit_logs              | table | postgres
 public | critical_audit_logs     | table | postgres
 public | dev_logs                | table | postgres
 public | devices                 | table | postgres
 public | meeting_action_items    | table | postgres
 public | meeting_agenda_items    | table | postgres
 public | meeting_audit_logs      | table | postgres
 public | meeting_notes           | table | postgres
 public | meeting_search          | table | postgres
 public | meeting_templates       | table | postgres
 public | meeting_transcripts     | table | postgres
 public | role_transitions        | table | postgres
 public | security_logs           | table | postgres
 public | team_knowledge          | table | postgres
 public | team_members            | table | postgres
 public | teams                   | table | postgres
 public | users                   | table | postgres
(33 rows)

